,Rooms,Bedroom2,Bathroom,BuildingArea,Landsize,Regionname,Price
416,3,3,2,94.0,400,Southern Metropolitan,761000.0
417,4,4,2,151.96764988779805,724,Southern Metropolitan,1270000.0
418,4,4,2,151.96764988779805,526,Southern Metropolitan,1510000.0
419,3,3,1,792.0,792,Southern Metropolitan,1365000.0
420,4,3,2,152.0,803,Southern Metropolitan,1100000.0
421,4,4,3,151.96764988779805,724,Southern Metropolitan,1415000.0
422,2,2,1,90.0,216,Southern Metropolitan,690000.0
423,3,3,2,215.0,782,Southern Metropolitan,1631000.0
424,4,4,2,255.0,593,Southern Metropolitan,1500000.0
425,3,2,1,151.96764988779805,772,Southern Metropolitan,1060000.0
426,5,5,3,317.0,585,Southern Metropolitan,1529500.0
427,2,2,1,80.0,153,Southern Metropolitan,600000.0
428,2,2,1,151.96764988779805,72,Southern Metropolitan,535000.0
429,3,3,1,151.96764988779805,557,Southern Metropolitan,785000.0
430,4,4,2,192.0,766,Southern Metropolitan,1240000.0
431,2,2,1,88.0,192,Southern Metropolitan,700000.0
432,4,4,2,151.96764988779805,727,Southern Metropolitan,1350000.0
433,2,2,1,86.0,586,Southern Metropolitan,1110000.0
434,3,3,1,120.0,760,Southern Metropolitan,1305000.0
435,3,3,2,85.0,320,Southern Metropolitan,855000.0
436,3,3,2,134.0,256,Southern Metropolitan,900500.0
437,3,3,2,198.0,839,Southern Metropolitan,1200000.0
438,3,2,1,130.0,212,Southern Metropolitan,830000.0
439,3,3,1,118.0,593,Western Metropolitan,850000.0
440,3,3,1,103.0,0,Western Metropolitan,750000.0
441,3,3,3,181.0,557,Western Metropolitan,851000.0
442,3,3,1,151.96764988779805,542,Western Metropolitan,848000.0
443,4,4,2,151.96764988779805,350,Western Metropolitan,806000.0
444,4,3,2,225.0,569,Western Metropolitan,1155000.0
445,3,3,2,151.96764988779805,671,Western Metropolitan,670000.0
446,4,4,5,151.96764988779805,673,Western Metropolitan,1200000.0
447,3,2,1,151.96764988779805,571,Western Metropolitan,636000.0
448,3,3,1,120.0,570,Western Metropolitan,680000.0
449,4,4,3,151.96764988779805,789,Western Metropolitan,1160000.0
450,3,3,1,151.96764988779805,529,Western Metropolitan,750000.0
451,3,3,1,143.0,550,Western Metropolitan,627500.0
452,3,3,2,151.96764988779805,339,Western Metropolitan,880000.0
453,4,4,3,281.0,761,Western Metropolitan,950000.0
